tile,year,file_id
10836,2015,1QuvZZ3fW-LyHlIkNokZpdwzYyLfllID2
10836,2016,16517A2Q5G0mK3XlVMQXdxN-5wpIrdRFl
10836,2017,1z_7k67lxr4CWEdys_c9nb2sriy9_IPnr
10836,2018,1eA1diiaBPKbLSSOtkqhnooyGJYSGyDYn
10836,2019,1PZdFq5BcIaQm0XczWxxNO3G8z94MmcXx
10836,2020,1DiEPjtPo4PXAd6P4hNy0J_pFHbnSF3QL
11013,2015,1ui0bNE1RQhooVa4xLiojt2OJRKzXz1Gv
11013,2016,1UE3w3pyY4DM_FZ1SKdeBoHNw72YoLe8t
11013,2017,1_bJ6QO-T-TDrjLNbhXgS7HmsFd_jsMAd
11013,2018,1ddR_pEmlKC_teSAJCtpvbY4WwwZ1o0nM
11013,2019,1BTw2rKsDW_pVgmI72QmCahUsS0L4TAbW
11013,2020,1Pu5nyNDd2tcPBVlbY5p4uaAYfK2b902_
11014,2015,1wl1ERYFgfUN9vb-JGSiulNAB0zxHBWWY
11014,2016,1aI8HPAUNn-wuh83HzWgDQRxsuPa9I8Zs
11014,2017,10Jf02MvL_2zxVR1lZQ70u93Ma0s6nVJt
11014,2018,1M2xe-UlmzjeSZiYqQxO31WRj9ioEa4y3
11014,2019,1Gf-9tAVLq-kXk-0OTFRANHL1sNWdQ-uT
11014,2020,1JDBCFRlfyZbsK8hlpUA6qJ3tSbXrcixt
11015,2015,1C2wmLlaMikg78NLmgaz0pYJ4Ss8mB7Ij
11015,2016,1yrDHP4DVAprVrqaVxz6Hhsw8yvYPaonZ
11015,2017,1QzsED73o29Dj2TyJqEHPxGaxoojnSzK_
11015,2018,1l1dzxjE0gnySGN8QQOBb7n0MqFfxEbkq
11015,2019,1QRjgIw4n18kz4RVMVcQxAPa7N0jxNIT-
11015,2020,1u2uA3H81DCjNIMwY3MG2J4YEO5nA1NHG
11016,2015,1rjYR57qMKi4DH2zvK5rUaTQkE15E8_Nv
11016,2016,1euVtotTc9-fihhlO8NvYwGhbY15QoagN
11016,2017,1JkwjHfzKc7A0mRYqGeV5KBvSWkyth488
11016,2018,1dl0-GyrSDwJQr7M762atNNxRvN4Ss7Fj
11016,2019,1agIFhnyRiWsVCC1qXfZpR1lfT1ieKtNQ
11016,2020,1FDGyL5-Hxlbk4J9eW0cxkctI808QLKcG
11193,2015,1EhHRptcHpMxsCzeQslYTjP1mYhepbumU
11193,2016,1jJ36V61APU7mRGiB7C_dXujkoYM5jZ1t
11193,2017,1lnI8CjFgCjXOnZZSXatGAV0KXZRCz768
11193,2018,1zSuZ2KbpQR-fsZVcm2NVCMVdxYLwXrXu
11193,2019,1uRr3FiTO_915UPHxvPeYqXGcjCZ8PBig
11193,2020,1l5YUMdco3t6IhcNZwlIYSIP1nEj3tWd1
11195,2015,13n6-FK5f5eJZkPCqWvv0kjyRtHJsiGDb
11195,2016,1NJ1CVo_TYgpbhON5ragwgXagU08dj1RF
11195,2017,1_3kwRVTVuQFQ6zwCp_5bKApsb1nWOlQ7
11195,2018,1iNtRkYV0xZqu4G6vl5R9_P_XSUyI8ftI
11195,2019,1Pk_JYkS97-E-fGZe-EaIWR9rZ2D3eSfd
11195,2020,1DNYvikZB-mQx1SAu9zC5dxzaWs8_DU4V
11196,2015,1T2M8t1z-zXLm3sTmd9aEvwAV3Y4FOlYP
11196,2016,1XqgW9BDAYNvGs3YV0KOiRTkJrS1nNk1p
11196,2017,1GPVwy-kjUMDtdMgVRLtlZMmyhZrvRnhB
11196,2018,15cZHcETadyzHiWlIdOz4DK4Vjv_bw7b8
11196,2019,1Rf4AxvOYvPH1wwt_6bkQQcDmQ8jXCFG8
11196,2020,1R6GDIZzTyGe61Pbd-WA7BL2AWsSWke38
